,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2308,37.70163518061393,38.28398873015239,39.140362525281226,40.07657583009717,41.02934246575587,41.98442517681229,42.93719181247102,43.87340511728701,44.72977891241575,45.31213246195434
2309,37.70065138542831,38.28287670101785,39.13913781076482,40.07527154170802,41.02797188250775,41.98299095944497,42.935691300244734,43.871825031187974,44.728086140934856,45.31031145652452
2310,37.69966761685431,38.28176474894707,39.13791318580138,40.07396734225491,41.0266013894102,41.98155683481983,42.93419088197516,43.870245038428735,44.726393475282954,45.30849060737584
2311,37.69868387490498,38.28065287392392,39.13668865038122,40.072663231732584,41.025230986457764,41.98012280293042,42.93269055765564,43.86866513900704,44.724700915464254,45.30666991448332
2312,37.69770015959333,38.279541075932265,39.13546420449466,40.07135921013577,41.02386067364495,41.97868886377029,42.93119032727951,43.86708533292065,44.723008461482955,45.30484937782202
2313,37.69671647093238,38.278429354955996,39.13423984813203,40.0700552774592,41.02249045096628,41.977255017332986,42.92969019084011,43.86550562016731,44.721316113343256,45.30302899736701
2314,37.695732808935134,38.277317710979005,39.13301558128366,40.068751433697614,41.021120318416294,41.97582126361206,42.928190148330785,43.863926000744776,44.719623871049336,45.30120877309334
2315,37.69474917361459,38.276206143985206,39.131791403939864,40.067447678845745,41.01975027598951,41.97438760260107,42.926690199744876,43.86234647465079,44.71793173460536,45.29938870497611
2316,37.69376556498373,38.27509465395851,39.130567316090975,40.06614401289832,41.01838032368045,41.972954034293565,42.925190345075734,43.86076704188312,44.716239704015486,45.297568792990404
2317,37.69278198305553,38.273983240882856,39.12934331772731,40.06484043585007,41.01701046148364,41.971520558683096,42.9236905843167,43.85918770243951,44.71454777928387,45.29574903711132
2318,37.69179842784297,38.27287190474218,39.1281194088392,40.06353694769574,41.015640689393614,41.97008717576322,42.92219091746114,43.85760845631773,44.71285596041464,45.29392943731398
2319,37.690814899359,38.27176064552044,39.126895589416954,40.06223354843004,41.014271007404886,41.96865388552749,42.92069134450239,43.85602930351551,44.71116424741193,45.29210999357349
2320,37.68983139761657,38.27064946320159,39.12567185945091,40.0609302380477,41.01290141551199,41.96722068796946,42.9191918654338,43.85445024403064,44.709472640279856,45.29029070586499
2321,37.68884792262863,38.26953835776962,39.12444821893139,40.05962701654346,41.01153191370945,41.96578758308269,42.91769248024874,43.85287127786085,44.70778113902252,45.28847157416362
2322,37.6878644744081,38.26842732920851,39.12322466784872,40.05832388391203,41.010162501991786,41.964354570860735,42.916193188940554,43.85129240500391,44.70608974364402,45.28665259844454
2323,37.686881052967905,38.267316377502254,39.12200120619322,40.05702084014815,41.008793180353535,41.96292165129715,42.91469399150261,43.849713625457575,44.70439845414844,45.2848337786829
2324,37.68589765832096,38.266205502634875,39.120777833955216,40.05571788524653,41.00742394878922,41.9614888243855,42.91319488792826,43.84813493921961,44.702707270539854,45.28301511485388
2325,37.684914290480165,38.26509470459039,39.119554551125034,40.0544150192019,41.00605480729336,41.96005609011933,42.91169587821088,43.84655634628778,44.70101619282232,45.28119660693266
2326,37.683930949458414,38.26398398335282,39.118331357692995,40.05311224200897,41.00468575586049,41.95862344849221,42.91019696234382,43.84497784665983,44.6993252209999,45.279378254894425
2327,37.68294763526859,38.26287333890623,39.11710825364943,40.05180955366248,41.00331679448514,41.957190899497704,42.908698140320446,43.843399440333535,44.69763435507663,45.277560058714386
2328,37.681964347923575,38.261762771234665,39.11588523898465,40.050506954157136,41.00194792316182,41.95575844312936,42.90719941213413,43.84182112730665,44.69594359505654,45.275742018367744
2329,37.68098108743623,38.26065228032219,39.114662313689,40.04920444348767,41.000579141885076,41.95432607938075,42.90570077777824,43.84024290757694,44.694252940943656,45.27392413382973
2330,37.67999785381941,38.25954186615288,39.1134394777528,40.04790202164878,40.99921045064943,41.95289380824542,42.90420223724615,43.83866478114218,44.69256239274199,45.272106405075576
2331,37.679014647085964,38.25843152871083,39.11221673116636,40.0465996886352,40.9978418494494,41.951461629716945,42.902703790531234,43.83708674800012,44.69087195045554,45.270288832080524
2332,37.67803146724873,38.25732126798014,39.110994073920025,40.04529744444164,40.99647333827952,41.95002954378889,42.901205437626864,43.835508808148525,44.68918161408829,45.26847141481983
2333,37.67704831432054,38.256211083944926,39.10977150600411,40.04399528906281,40.99510491713433,41.94859755045481,42.89970717852641,43.83393096158517,44.68749138364423,45.266654153268746
2334,37.676065188314205,38.255100976589304,39.108549027408934,40.04269322249343,40.99373658600833,41.94716564970827,42.89820901322326,43.832353208307815,44.685801259127324,45.26483704740255
2335,37.675082089242544,38.253990945897414,39.10732663812483,40.04139124472822,40.99236834489607,41.94573384154284,42.896710941710786,43.83077554831423,44.684111240541526,45.263020097196524
2336,37.67409901711836,38.2528809918534,39.106104338142124,40.04008935576187,40.991000193792075,41.944302125952085,42.895212963982374,43.829197981602185,44.682421327890786,45.26120330262596
2337,37.67311597195443,38.251771114441425,39.10488212745114,40.03878755558911,40.989632132690865,41.94287050292957,42.89371508003141,43.827620508169446,44.68073152117904,45.259386663666156
2338,37.67213295376355,38.250661313645644,39.103660006042205,40.037485844204646,40.988264161586976,41.941438972468866,42.89221728985128,43.82604312801378,44.67904182041022,45.25757018029243
2339,37.671149962558495,38.24955158945024,39.102437973905644,40.036184221603186,40.98689628047493,41.940007534563534,42.890719593435364,43.82446584113296,44.67735222558824,45.25575385248011
2340,37.67016699835202,38.24844194183942,39.10121603103178,40.03488268777944,40.98552848934926,41.93857618920715,42.88922199077705,43.82288864752476,44.675662736717,45.25393768020452
2341,37.66918406115689,38.247332370797366,39.09999417741095,40.033581242728104,40.98416078820449,41.93714493639327,42.88772448186974,43.82131154718695,44.673973353800406,45.25212166344101
2342,37.668201150985844,38.2462228763083,39.098772413033466,40.032279886443895,40.982793177035155,41.93571377611547,42.886227066706816,43.819734540117295,44.67228407684234,45.25030580216492
2343,37.667218267851624,38.24511345835644,39.09755073788966,40.03097861892151,40.98142565583578,41.93428270836733,42.884729745281675,43.81815762631357,44.67059490584667,45.24849009635162
2344,37.666235411766955,38.24400411692603,39.09632915196987,40.02967744015566,40.98005822460089,41.9328517331424,42.883232517587714,43.816580805773555,44.66890584081727,45.246674545976475
2345,37.66525258274455,38.24289485200131,39.09510765526441,40.028376350141045,40.97869088332502,41.931420850434264,42.88173538361833,43.815004078495015,44.66721688175799,45.24485915101488
2346,37.66426978079713,38.24178566356654,39.0938862477636,40.027075348872366,40.9773236320027,41.9299900602365,42.88023834336692,43.813427444475735,44.66552802867267,45.243043911442214
2347,37.66328700593738,38.240676551605986,39.09266492945778,40.02577443634432,40.975956470628454,41.92855936254267,42.87874139682689,43.811850903713484,44.663839281565146,45.24122882723389
